Homo sapiens
Hylobates muelleri
Pan troglodytes
Gorilla gorilla
Pongo pygmaeus
Pan paniscus
Bos primigenius taurus
Sus domesticus
Ovis aries
Capra aegagrus hircus
Bubalus bubalis
Odocoileus virginianus
Aepyceros melampus
Antidorcas marsupialis
Alces alces
Syncerus caffer
Capra ibex
Bison bison
Hippopotamus amphibius
Oreamnos americanus
Okapia johnstoni
Bos mutus
Camelus dromedarius
Camelus bactrianus
Lama glama
Vicugna pacos
Equus ferus caballus
Equus africanus asinus
Equus asinus × Equus caballus
Equus quagga
Equus zebra
Ceratotherium simum
Tapirus bairdii
Diceros bicornis
Canis lupus familiaris
Felis catus
Pagophilus groenlandicus
Lobodon carcinophaga
Ursus americanus
Canis lupus
Ursus arctos
Enhydra lutris
Panthera pardus
Crocuta crocuta
Chrysocyon brachyurus
Ursus maritimus
Panthera leo
Melursus ursinus
Lycalopex sechurae
Hyaena hyaena
Ailurus fulgens
Hyaena brunnea
Lynx lynx
Panthera uncia
Acinonyx jubatus
Lycaon pictus
Panthera tigris
Ailuropoda melanoleuca
Lontra felina
Lynx pardinus
Procyon pygmaeus
Mustela nigripes
Canis lupus rufus
Vulpes vulpes
Anas platyrhynchos
Clangula hyemalis
Spatula clypeata
Anseranas semipalmata
Anser anser
Branta hutchinsii
Cygnus olor
Cygnus columbianus
Apus apus
Chaetura pelagica
Florisuga mellivora
Bubulcus ibis
Plegadis chihi
Threskiornis spinicollis
Ciconia ciconia
Ciconia nigra
Ardea cinerea
Zenaida macroura
Columba livia domestica
Columba palumbus
Streptopelia turtur
Alcedo atthis
Cuculus canorus
Falco tinnunculus
Buteo buteo
Circus cyaneus
Falco columbarius
Falco peregrinus
Milvus migrans
Accipiter gentilis
Circus aeruginosus
Rupornis magnirostris
Necrosyrtes monachus
Aquila chrysaetos
Phasianus colchicus
Lagopus lagopus
Coturnix coturnix
Fulica americana
Crex crex
Aramus guarauna
Grus grus
Grus virgo
Leucocarbo bougainvillii
Phalacrocorax carbo
Pelecanus erythrorhynchos
Pelecanus thagus
Pelecanus philippensis
Pelecanus crispus
Phoeniconaias minor
Phoenicopterus roseus
Dendrocopos major
Dryocopus lineatus
Dryocopus martius
Phoebastria immutabilis
Thalassarche melanophris
Thalassarche chrysostoma
Nymphicus hollandicus
Melopsittacus undulatus
Cacatua alba
Ara macao
Eudyptes chrysolophus
Aptenodytes forsteri
Eudyptes schlegeli
Aptenodytes patagonicus
Athene noctua
Asio flammeus
Strix aluco
Bubo scandiacus
Bubo bubo
Dromaius novaehollandiae
Apteryx mantelli
Apteryx australis
Apteryx owenii
Corvus corax
Passer domesticus
Parus major
Cyanistes caeruleus
